scene_id,platform,acquisition_date,orbit_pass,relative_orbit,absolute_orbit,polarization,size_mb,gap_days
S1A_IW_SLC__1SDV_20260601T110639_20260601T110706_064775_082954_1E78,Sentinel-1A,2026-06-01 11:06:39+00:00,ASCENDING,28,64775,VV+VH,4558.7,
S1A_IW_SLC__1SDV_20150618T105756_20150618T105824_006427_0087E6_EF81,Sentinel-1A,2015-06-18 10:57:56+00:00,ASCENDING,55,6427,VV+VH,4650.0,
S1A_IW_SLC__1SDV_20150630T105758_20150630T105827_006602_008CCA_715C,Sentinel-1A,2015-06-30 10:57:58+00:00,ASCENDING,55,6602,VV+VH,5146.7,12.0
S1A_IW_SLC__1SDV_20150712T105757_20150712T105832_006777_0091A0_F83C,Sentinel-1A,2015-07-12 10:57:57+00:00,ASCENDING,55,6777,VV+VH,6172.9,11.0
S1A_IW_SLC__1SDV_20150724T105758_20150724T105825_006952_00969F_119E,Sentinel-1A,2015-07-24 10:57:58+00:00,ASCENDING,55,6952,VV+VH,4695.7,12.0
S1A_IW_SLC__1SDV_20150910T105800_20150910T105830_007652_00A9D3_4B0B,Sentinel-1A,2015-09-10 10:58:00+00:00,ASCENDING,55,7652,VV+VH,5166.7,48.0
S1A_IW_SLC__1SDV_20151004T105801_20151004T105830_008002_00B32E_A1B7,Sentinel-1A,2015-10-04 10:58:01+00:00,ASCENDING,55,8002,VV+VH,5163.3,24.0
S1A_IW_SLC__1SDV_20151016T105801_20151016T105828_008177_00B7D9_66C9,Sentinel-1A,2015-10-16 10:58:01+00:00,ASCENDING,55,8177,VV+VH,4655.7,12.0
S1A_IW_SLC__1SDV_20151109T105800_20151109T105827_008527_00C12D_8DD8,Sentinel-1A,2015-11-09 10:58:00+00:00,ASCENDING,55,8527,VV+VH,4665.9,23.0
S1A_IW_SLC__1SDV_20151203T105754_20151203T105822_008877_00CB0F_7EE6,Sentinel-1A,2015-12-03 10:57:54+00:00,ASCENDING,55,8877,VV+VH,4759.4,23.0
S1A_IW_SLC__1SDV_20151227T105753_20151227T105821_009227_00D4DC_8A75,Sentinel-1A,2015-12-27 10:57:53+00:00,ASCENDING,55,9227,VV+VH,4753.1,23.0
S1A_IW_SLC__1SDV_20160120T105753_20160120T105821_009577_00DEE2_882D,Sentinel-1A,2016-01-20 10:57:53+00:00,ASCENDING,55,9577,VV+VH,4763.2,24.0
S1A_IW_SLC__1SDV_20160201T105752_20160201T105822_009752_00E401_4B8D,Sentinel-1A,2016-02-01 10:57:52+00:00,ASCENDING,55,9752,VV+VH,5086.9,11.0
S1A_IW_SLC__1SDV_20160225T105752_20160225T105820_010102_00EE39_39F3,Sentinel-1A,2016-02-25 10:57:52+00:00,ASCENDING,55,10102,VV+VH,4719.6,24.0
S1A_IW_SLC__1SDV_20160308T105752_20160308T105820_010277_00F326_44C2,Sentinel-1A,2016-03-08 10:57:52+00:00,ASCENDING,55,10277,VV+VH,4760.3,12.0
